PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
290,0,0,0,-44.1,1.52,0,0,0,0
291,0,0,0,-44.95,2.05,0,0,0,0
292,0,0,0,-45.73,2.67,0,0,0,0
293,0,0,0,-46.44,3.37,0,0,0,0
294,0,0,0,-47.07,4.15,0,0,0,0
295,0,0,0,-47.61,4.99,0,0,0,0
296,0,0,0,-48.06,5.89,0,0,0,0
297,0,0,0,-48.41,6.82,0,0,0,0
298,0,0,0,-48.69,7.78,0,0,0,0
299,0,0,0,-48.87,8.77,0,0,0,0
300,0,0,0,-48.98,9.76,0,0,0,0
301,0,0,0,-49.02,10.76,0,0,0,0
302,0,0,0,-48.99,11.76,0,0,0,0
303,0,0,0,-48.89,12.76,0,0,0,0
304,0,0,0,-48.75,13.74,0,0,0,0
305,0,0,0,-48.54,14.72,0,0,0,0
306,0,0,0,-48.29,15.69,0,0,0,0
307,0,0,0,-47.98,16.64,0,0,0,0
308,0,0,0,-47.63,17.58,0,0,0,0
309,0,0,0,-47.24,18.5,0,0,0,0
310,0,0,0,-47.12,18.74,0,0,0,0
311,0,0,0,-46.78,19.68,0,0,0,0
312,0,0,0,-46.43,20.62,0,0,0,0
313,0,0,0,-46.09,21.56,0,0,0,0
314,0,0,0,-45.74,22.49,0,0,0,0
315,0,0,0,-45.4,23.43,0,0,0,0
316,0,0,0,-45.05,24.37,0,0,0,0
317,0,0,0,-44.71,25.31,0,0,0,0
318,0,0,0,-44.36,26.25,0,0,0,0
319,0,0,0,-44.02,27.19,0,0,0,0
320,0,0,0,-43.67,28.12,0,0,0,0
321,0,0,0,-43.33,29.06,0,0,0,0
322,0,0,0,-42.98,30,0,0,0,0
323,0,0,0,-42.64,30.94,0,0,0,0
324,0,0,0,-42.29,31.88,0,0,0,0
325,0,0,0,-41.95,32.82,0,0,0,0
326,0,0,0,-41.6,33.76,0,0,0,0
327,0,0,0,-41.26,34.69,0,0,0,0
328,0,0,0,-40.91,35.63,0,0,0,0
329,0,0,0,-40.57,36.57,0,0,0,0
330,0,0,0,-40.22,37.51,0,0,0,0
331,0,0,0,-39.88,38.45,0,0,0,0
332,0,0,0,-39.53,39.39,0,0,0,0
333,0,0,0,-39.19,40.33,0,0,0,0
334,0,0,0,-38.84,41.26,0,0,0,0
335,0,0,0,-38.5,42.2,0,0,0,0
336,0,0,0,-38.15,43.14,0,0,0,0
337,0,0,0,-37.8,44.08,0,0,0,0
338,0,0,0,-37.46,45.02,0,0,0,0
339,0,0,0,-37.11,45.96,0,0,0,0
340,0,0,0,-36.77,46.9,0,0,0,0
341,0,0,0,-36.42,47.83,0,0,0,0
342,0,0,0,-36.08,48.77,0,0,0,0
343,0,0,0,-35.73,49.71,0,0,0,0
344,0,0,0,-35.39,50.65,0,0,0,0
345,0,0,0,-35.04,51.59,0,0,0,0
346,0,0,0,-34.7,52.53,0,0,0,0
347,0,0,0,-34.35,53.47,0,0,0,0
348,0,0,0,-34.01,54.4,0,0,0,0
349,0,0,0,-33.66,55.34,0,0,0,0
350,0,0,0,-33.32,56.28,0,0,0,0
351,0,0,0,-32.97,57.22,0,0,0,0
352,0,0,0,-32.63,58.16,0,0,0,0
353,0,0,0,-32.28,59.1,0,0,0,0
354,0,0,0,-31.94,60.04,0,0,0,0
355,0,0,0,-31.59,60.97,0,0,0,0
356,0,0,0,-31.25,61.91,0,0,0,0
357,0,0,0,-30.9,62.85,0,0,0,0
358,0,0,0,-30.56,63.79,0,0,0,0
359,0,0,0,-30.21,64.73,0,0,0,0
360,0,0,0,-29.87,65.67,0,0,0,0
361,0,0,0,-29.52,66.6,0,0,0,0
362,0,0,0,-29.18,67.54,0,0,0,0
363,0,0,0,-28.83,68.48,0,0,0,0
364,0,0,0,-28.49,69.42,0,0,0,0
365,0,0,0,-28.14,70.36,0,0,0,0
366,0,0,0,-27.79,71.3,0,0,0,0
367,0,0,0,-27.45,72.24,0,0,0,0
368,0,0,0,-27.1,73.17,0,0,0,0
369,0,0,0,-26.76,74.11,0,0,0,0
370,0,0,0,-26.73,74.19,0,0,0,0
371,0,0,0,-26.44,75.15,0,0,0,0
372,0,0,0,-26.13,76.1,0,0,0,0
373,0,0,0,-25.81,77.05,0,0,0,0
374,0,0,0,-25.47,77.99,0,0,0,0
375,0,0,0,-25.09,78.92,0,0,0,0
376,0,0,0,-24.68,79.83,0,0,0,0
377,0,0,0,-24.2,80.7,0,0,0,0
378,0,0,0,-23.65,81.54,0,0,0,0
379,0,0,0,-23.01,82.31,0,0,0,0
380,0,0,0,-22.26,82.97,0,0,0,0
381,0,0,0,-21.41,83.5,0,0,0,0
382,0,0,0,-20.49,83.88,0,0,0,0
383,0,0,0,-19.51,84.11,0,0,0,0
384,0,0,0,-18.52,84.22,0,0,0,0
385,0,0,0,-17.52,84.24,0,0,0,0
386,0,0,0,-16.52,84.19,0,0,0,0
387,0,0,0,-16.04,84.14,0,0,0,0
388,0,0,0,-15.63,84.11,0,0,0,0
389,0,0,0,-14.63,84.07,0,0,0,0
390,0,0,0,-13.63,84.03,0,0,0,0
391,0,0,0,-12.63,83.99,0,0,0,0
392,0,0,0,-11.63,83.95,0,0,0,0
393,0,0,0,-10.64,83.91,0,0,0,0
394,0,0,0,-9.64,83.87,0,0,0,0
395,0,0,0,-8.64,83.83,0,0,0,0
396,0,0,0,-7.64,83.78,0,0,0,0
397,0,0,0,-6.64,83.74,0,0,0,0
398,0,0,0,-5.64,83.7,0,0,0,0
399,0,0,0,-4.64,83.66,0,0,0,0
400,0,0,0,-3.64,83.62,0,0,0,0
401,0,0,0,-2.76,83.59,0,0,0,0
402,0,0,2,-2.35,29.19,0,0,0,0
403,0,0,1.5,-2.4,29.26,0,0,0,0
404,0,0,0,-1.62,46.74,0,0,0,0
405,0,0,0,6.31,46.37,0,0,0,0
406,0,0,0,-46.46,14.61,0,0,0,0
407,0,0,0,-46.68,13.63,0,0,0,0
408,0,0,0,-46.65,12.63,0,0,0,0
409,0,0,0,-46.56,11.63,0,0,0,0
410,0,0,0,-46.42,10.65,0,0,0,0
411,0,0,0,-46.21,9.67,0,0,0,0
412,0,0,0,-45.93,8.71,0,0,0,0
413,0,0,0,-45.58,7.77,0,0,0,0
414,0,0,0,-45.16,6.86,0,0,0,0
415,0,0,0,-44.66,6,0,0,0,0
416,0,0,0,-44.08,5.18,0,0,0,0
417,0,0,0,-43.43,4.43,0,0,0,0
418,0,0,0,-42.7,3.74,0,0,0,0
419,0,0,0,-41.91,3.13,0,0,0,0
420,0,0,0,-41.06,2.6,0,0,0,0
421,0,0,0,-40.16,2.16,0,0,0,0
422,0,0,0,-39.23,1.8,0,0,0,0
423,0,0,0,-38.59,1.6,0,0,0,0
424,0,0,0,-10.96,0.7,0,0,0,0
425,0,0,0,-9.97,0.84,0,0,0,0
426,0,0,0,-9,1.08,0,0,0,0
427,0,0,0,-8.06,1.42,0,0,0,0
428,0,0,0,-7.18,1.9,0,0,0,0
429,0,0,0,-6.37,2.48,0,0,0,0
430,0,0,0,-5.64,3.17,0,0,0,0
431,0,0,0,-5.01,3.95,0,0,0,0
432,0,0,0,-4.47,4.79,0,0,0,0
433,0,0,0,-4.28,5.53,0,0,0,0
434,0,0,0,-1.9,40.89,0,0,0,0
435,0,0,0,-0.2,76.72,0,0,0,0
436,0,0,0,-0.27,77.72,0,0,0,0
437,0,0,0,-0.56,78.67,0,0,0,0
438,0,0,0,-1.11,79.51,0,0,0,0
439,0,0,0,-1.86,80.17,0,0,0,0
440,0,0,0,-2.76,80.61,0,0,0,0
441,0,0,0,-3.34,80.76,0,0,0,0
442,0,0,0,-16.88,81.17,0,0,0,0
443,0,0,0,-17.88,81.18,0,0,0,0
444,0,0,0,-18.88,81.17,0,0,0,0
445,0,0,0,-19.86,80.95,0,0,0,0
446,0,0,0,-20.71,80.43,0,0,0,0
447,0,0,0,-21.41,79.72,0,0,0,0
448,0,0,0,-21.96,78.88,0,0,0,0
449,0,0,0,-22.37,77.97,0,0,0,0
450,0,0,0,-22.68,77.15,0,0,0,0
451,0,0,0,-46.41,14.59,0,0,0,0
452,0,0,0,7.07,74.1,0,0,0,0
453,0,0,0,7.06,75.1,0,0,0,0
454,0,0,0,7.11,76.1,0,0,0,0
455,0,0,0,7.17,77.1,0,0,0,0
456,0,0,0,7.21,78.09,0,0,0,0
457,0,0,0,7.2,79.09,0,0,0,0
458,0,0,0,7.12,80.09,0,0,0,0
459,0,0,0,6.95,81.08,0,0,0,0
460,0,0,0,6.66,82.03,0,0,0,0
461,0,0,0,6.25,82.94,0,0,0,0
462,0,0,0,5.7,83.78,0,0,0,0
463,0,0,0,5.04,84.53,0,0,0,0
464,0,0,0,4.29,85.19,0,0,0,0
465,0,0,0,3.46,85.75,0,0,0,0
466,0,0,0,2.58,86.23,0,0,0,0
467,0,0,0,2.26,86.39,0,0,0,0
468,0,0,0,-22.01,86.91,0,0,0,0
469,0,0,0,-22.99,86.72,0,0,0,0
470,0,0,0,-23.94,86.41,0,0,0,0
471,0,0,0,-24.84,85.98,0,0,0,0
472,0,0,0,-25.67,85.42,0,0,0,0
473,0,0,0,-26.42,84.76,0,0,0,0
474,0,0,0,-27.07,84,0,0,0,0
475,0,0,0,-27.62,83.16,0,0,0,0
476,0,0,0,-28.06,82.26,0,0,0,0
477,0,0,0,-28.4,81.33,0,0,0,0
478,0,0,0,-28.52,80.94,0,0,0,0
479,0,0,0,-52.74,15.27,0,0,0,0
480,0,0,0,57.97,26.21,0,0,0,0
481,0,0,0,57.76,27.19,0,0,0,0
482,0,0,0,57.38,28.12,0,0,0,0
483,0,0,0,56.77,28.91,0,0,0,0
484,0,0,0,55.98,29.52,0,0,0,0
485,0,0,0,55.06,29.92,0,0,0,0
486,0,0,0,54.09,30.16,0,0,0,0
487,0,0,0,53.1,30.28,0,0,0,0
488,0,0,0,52.1,30.32,0,0,0,0
489,0,0,0,51.1,30.29,0,0,0,0
490,0,0,0,50.1,30.23,0,0,0,0
491,0,0,0,49.11,30.15,0,0,0,0
492,0,0,0,48.11,30.06,0,0,0,0
493,0,0,0,47.11,29.99,0,0,0,0
494,0,0,0,46.29,29.96,0,0,0,0
495,0,0,0,29.8,30.88,0,0,0,0
496,0,0,0,28.8,30.96,0,0,0,0
497,0,0,0,27.81,31.06,0,0,0,0
498,0,0,0,26.82,31.17,0,0,0,0
499,0,0,0,25.82,31.31,0,0,0,0
500,0,0,0,24.84,31.46,0,0,0,0
501,0,0,0,23.85,31.63,0,0,0,0
502,0,0,0,22.87,31.82,0,0,0,0
503,0,0,0,21.89,32.03,0,0,0,0
504,0,0,0,20.92,32.27,0,0,0,0
505,0,0,0,19.96,32.54,0,0,0,0
506,0,0,0,19,32.83,0,0,0,0
507,0,0,0,18.05,33.15,0,0,0,0
508,0,0,0,17.12,33.5,0,0,0,0
509,0,0,0,16.19,33.88,0,0,0,0
