DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
287,119.57,290,0,0,0,0,0,0,0
288,120.57,291,0,0,0,0,0,0,0
289,121.57,292,0,0,0,0,0,0,0
290,122.57,293,0,0,0,0,0,0,0
291,123.57,294,0,0,0,0,0,0,0
292,124.57,295,0,0,0,0,0,0,0
293,125.57,296,0,0,0,0,0,0,0
294,126.57,297,0,0,0,0,0,0,0
295,127.57,298,0,0,0,0,0,0,0
296,128.57,299,0,0,0,0,0,0,0
297,129.57,300,0,0,0,0,0,0,0
298,130.57,301,0,0,0,0,0,0,0
299,131.57,302,0,0,0,0,0,0,0
300,132.57,303,0,0,0,0,0,0,0
301,133.57,304,0,0,0,0,0,0,0
302,134.57,305,0,0,0,0,0,0,0
303,135.57,306,0,0,0,0,0,0,0
304,136.57,307,0,0,0,0,0,0,0
305,137.57,308,0,0,0,0,0,0,0
306,138.57,309,0,0,0,0,0,0,0
307,138.84,310,0,0,0,0,0,0,0
308,139.84,311,0,0,0,0,0,0,0
309,140.84,312,0,0,0,0,0,0,0
310,141.84,313,0,0,0,0,0,0,0
311,142.84,314,0,0,0,0,0,0,0
312,143.84,315,0,0,0,0,0,0,0
313,144.84,316,0,0,0,0,0,0,0
314,145.84,317,0,0,0,0,0,0,0
315,146.84,318,0,0,0,0,0,0,0
316,147.84,319,0,0,0,0,0,0,0
317,148.84,320,0,0,0,0,0,0,0
318,149.84,321,0,0,0,0,0,0,0
319,150.84,322,0,0,0,0,0,0,0
320,151.84,323,0,0,0,0,0,0,0
321,152.84,324,0,0,0,0,0,0,0
322,153.84,325,0,0,0,0,0,0,0
323,154.84,326,0,0,0,0,0,0,0
324,155.84,327,0,0,0,0,0,0,0
325,156.84,328,0,0,0,0,0,0,0
326,157.84,329,0,0,0,0,0,0,0
327,158.84,330,0,0,0,0,0,0,0
328,159.84,331,0,0,0,0,0,0,0
329,160.84,332,0,0,0,0,0,0,0
330,161.84,333,0,0,0,0,0,0,0
331,162.84,334,0,0,0,0,0,0,0
332,163.84,335,0,0,0,0,0,0,0
333,164.84,336,0,0,0,0,0,0,0
334,165.84,337,0,0,0,0,0,0,0
335,166.84,338,0,0,0,0,0,0,0
336,167.84,339,0,0,0,0,0,0,0
337,168.84,340,0,0,0,0,0,0,0
338,169.84,341,0,0,0,0,0,0,0
339,170.84,342,0,0,0,0,0,0,0
340,171.84,343,0,0,0,0,0,0,0
341,172.84,344,0,0,0,0,0,0,0
342,173.84,345,0,0,0,0,0,0,0
343,174.84,346,0,0,0,0,0,0,0
344,175.84,347,0,0,0,0,0,0,0
345,176.84,348,0,0,0,0,0,0,0
346,177.84,349,0,0,0,0,0,0,0
347,178.84,350,0,0,0,0,0,0,0
348,179.84,351,0,0,0,0,0,0,0
349,180.84,352,0,0,0,0,0,0,0
350,181.84,353,0,0,0,0,0,0,0
351,182.84,354,0,0,0,0,0,0,0
352,183.84,355,0,0,0,0,0,0,0
353,184.84,356,0,0,0,0,0,0,0
354,185.84,357,0,0,0,0,0,0,0
355,186.84,358,0,0,0,0,0,0,0
356,187.84,359,0,0,0,0,0,0,0
357,188.84,360,0,0,0,0,0,0,0
358,189.84,361,0,0,0,0,0,0,0
359,190.84,362,0,0,0,0,0,0,0
360,191.84,363,0,0,0,0,0,0,0
361,192.84,364,0,0,0,0,0,0,0
362,193.84,365,0,0,0,0,0,0,0
363,194.84,366,0,0,0,0,0,0,0
364,195.84,367,0,0,0,0,0,0,0
365,196.84,368,0,0,0,0,0,0,0
366,197.84,369,0,0,0,0,0,0,0
367,197.92,370,0,0,0,0,0,0,0
368,198.92,371,0,0,0,0,0,0,0
369,199.92,372,0,0,0,0,0,0,0
370,200.92,373,0,0,0,0,0,0,0
371,201.92,374,0,0,0,0,0,0,0
372,202.92,375,0,0,0,0,0,0,0
373,203.92,376,0,0,0,0,0,0,0
374,204.92,377,0,0,0,0,0,0,0
375,205.92,378,0,0,0,0,0,0,0
376,206.92,379,0,0,0,0,0,0,0
